loan_amount,purpose,annual_income,home_ownership,issue_date,emp_length,dti,term,Encoded Homeownership,Encoded Loan Purpose,Income Group,Term (Numeric),,,
2500,car,30000,RENT,11/02/2021,< 1 year,0.01, 60 months,1,1,Medium,60,,,
3000,car,48000,RENT,01/01/2021,9 years,0.0535, 36 months,1,1,Medium,36,,,
12000,car,50000,RENT,05/01/2021,4 years,0.2088, 36 months,1,1,Medium,36,,,
4500,car,42000,MORTGAGE,25/02/2021,< 1 year,0.054, 60 months,2,1,Medium,60,,,
3500,car,83000,MORTGAGE,01/01/2021,10+ years,0.0231, 36 months,2,1,High,36,,,
8000,car,28000,RENT,17/07/2021,3 years,0.126, 36 months,1,1,Low,36,,,
6000,car,94800,MORTGAGE,19/11/2021,10+ years,0.2453, 36 months,2,1,High,36,,,
5500,car,59000,OWN,11/06/2021,10+ years,0.0665, 36 months,3,1,Medium,36,,Loan Purpose,Encoded Value
24000,car,116400,MORTGAGE,02/09/2021,10+ years,0.0394, 36 months,2,1,High,36,,car,1
4125,car,36000,MORTGAGE,09/02/2021,10+ years,0.1773, 60 months,2,1,Medium,60,,credit card,2
5400,car,75000,MORTGAGE,22/07/2021,10+ years,0.088, 36 months,2,1,High,36,,debt consolidation,3
11200,car,75000,RENT,11/09/2021,3 years,0.2288, 36 months,1,1,High,36,,educational,4
5000,car,35000,RENT,11/08/2021,4 years,0.0401, 36 months,1,1,Medium,36,,home improvement,5
8000,car,48000,RENT,11/12/2021,5 years,0.1533, 36 months,1,1,Medium,36,,house,6
6000,car,92000,RENT,11/10/2021,4 years,0.106, 36 months,1,1,High,36,,major purchase,7
12000,car,60000,RENT,11/12/2021,< 1 year,0.063, 36 months,1,1,Medium,36,,medical,8
3050,car,16800,RENT,02/12/2021,1 year,0.035, 36 months,1,1,Low,36,,moving,9
10000,car,40000,RENT,09/10/2021,4 years,0.1869, 36 months,1,1,Medium,36,,other,10
5000,car,35000,MORTGAGE,12/12/2021,10+ years,0.1392, 36 months,2,1,Medium,36,,renewable_energy,11
5000,car,40000,OWN,02/02/2021,10+ years,0.0957, 36 months,3,1,Medium,36,,small business,12
5000,car,40000,RENT,07/07/2021,6 years,0.0255, 36 months,1,1,Medium,36,,vacation,13
2225,car,120000,MORTGAGE,08/01/2021,< 1 year,0.0767, 36 months,2,1,High,36,,wedding,14
4000,car,60000,MORTGAGE,09/08/2021,< 1 year,0.1108, 36 months,2,1,Medium,36,,,
8000,car,72000,OWN,08/01/2021,4 years,0.0512, 36 months,3,1,High,36,,,
2500,car,70800,MORTGAGE,11/01/2021,10+ years,0.0795, 36 months,2,1,High,36,,,
4000,car,80000,MORTGAGE,11/11/2021,6 years,0.0648, 36 months,2,1,High,36,,,
12000,car,36000,MORTGAGE,09/06/2021,< 1 year,0.15, 36 months,2,1,Medium,36,,,
7000,car,45000,MORTGAGE,09/10/2021,10+ years,0.152, 36 months,2,1,Medium,36,,,
9000,car,86400,MORTGAGE,11/01/2021,3 years,0.0385, 36 months,2,1,High,36,,,
4800,car,24600,MORTGAGE,11/06/2021,6 years,0.0785, 36 months,2,1,Low,36,,,
5000,car,30000,MORTGAGE,10/01/2021,< 1 year,0.0992, 36 months,2,1,Medium,36,,,
6000,car,48000,MORTGAGE,11/05/2021,6 years,0.2357, 36 months,2,1,Medium,36,,,
